SEASON,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
2020,North Carolina,ACC,33,14,108.2,98.3,0.7498,46.4,49.1,18.1,16.0,35.3,24.2,33.5,29.2,46.8,48.2,30.4,33.6,70.3,-5.0,,
2020,Liberty,ASun,32,30,105.6,96.0,0.7495,54.4,45.6,15.2,19.4,23.9,21.3,32.0,28.6,55.7,45.9,35.0,30.0,61.3,-0.3,,
2020,Nevada,MWC,31,19,110.1,100.2,0.7476,52.9,47.0,16.7,15.2,25.2,24.4,28.3,36.5,49.5,48.8,38.3,29.8,71.1,-3.7,,
2020,Texas St.,SB,30,21,106.7,97.3,0.7425,48.9,46.9,16.6,21.2,29.6,29.8,35.2,39.0,49.4,46.2,31.8,32.1,65.2,-4.8,,
2020,SMU,Amer,30,19,112.9,103.3,0.7372,52.1,49.2,19.8,18.7,34.1,29.0,31.7,28.2,54.7,47.4,32.3,34.4,64.7,-2.5,,
2020,Akron,MAC,29,24,107.9,98.8,0.7343,51.7,45.9,17.9,18.4,27.4,29.2,35.5,29.1,49.6,45.2,36.2,31.5,69.4,-1.0,,
2020,Oregon St.,P12,31,18,110.5,101.3,0.7305,51.6,49.4,17.3,18.6,26.5,29.0,38.8,30.9,53.2,47.9,32.5,34.7,65.8,-2.9,,
2020,TCU,B12,31,16,105.2,96.6,0.727,49.4,49.3,21.5,21.0,32.2,29.6,27.1,30.8,46.6,47.6,35.4,35.1,64.9,-3.4,,
2020,New Mexico St.,WAC,29,25,107.7,99.0,0.7242,52.7,49.6,20.6,20.9,34.5,21.7,31.9,32.0,53.4,49.7,34.6,32.9,63.5,-1.4,,
2020,Furman,SC,29,25,106.6,98.0,0.724,54.6,50.7,16.6,23.0,23.5,28.4,31.6,26.8,57.0,53.6,34.5,31.2,68.2,-0.7,,
2020,Georgia,SEC,31,16,108.7,100.1,0.7211,50.9,50.7,20.1,17.9,31.6,30.1,33.6,31.5,54.5,52.1,30.1,32.0,70.3,-4.2,,
2020,Vermont,AE,32,26,105.4,97.1,0.7207,51.7,44.8,17.2,19.0,27.6,22.7,31.3,31.5,53.4,42.4,33.0,32.2,66.2,-1.8,,
2020,Iowa St.,B12,32,12,109.3,100.8,0.7175,49.8,51.8,18.7,20.6,29.2,31.6,28.5,28.0,51.3,50.5,31.6,35.9,69.8,-5.6,,
2020,Duquesne,A10,30,21,107.0,98.9,0.7118,51.2,48.0,18.5,20.2,29.5,30.5,32.8,29.2,53.8,49.7,31.8,30.1,67.7,-1.7,,
2020,Northern Colorado,BSky,29,22,109.3,101.1,0.7089,54.7,48.5,15.4,16.8,25.0,24.0,25.3,24.9,53.6,50.2,37.4,28.5,65.0,-3.7,,
2020,UNC Greensboro,SC,30,23,103.2,95.6,0.7074,48.9,50.1,16.5,24.9,33.2,26.8,25.0,36.8,49.5,48.0,32.1,35.6,67.5,-2.5,,
2020,Loyola Chicago,MVC,31,21,103.8,96.3,0.7031,54.9,52.2,19.4,23.6,21.3,23.6,38.9,23.5,55.3,49.8,36.0,36.9,65.3,-4.2,,
2020,Kansas St.,B12,32,11,102.1,94.8,0.7023,47.5,49.6,21.3,24.3,29.6,30.2,34.7,38.8,47.9,49.6,31.3,33.0,67.0,-7.3,,
2020,DePaul,BE,31,16,102.6,95.3,0.7008,47.9,48.8,20.4,22.2,31.3,30.2,33.3,35.4,48.4,47.9,31.1,33.4,70.4,-2.6,,
2020,UNLV,MWC,32,17,107.5,100.1,0.695,49.7,49.2,19.3,17.4,34.0,24.0,34.1,40.6,50.9,48.5,31.9,33.5,66.8,-5.9,,
2020,Belmont,OVC,32,26,106.9,99.5,0.6938,54.8,47.8,16.0,19.5,24.7,26.7,22.9,24.3,56.8,46.7,34.8,33.2,70.5,-2.2,,
2020,Boise St.,MWC,31,20,105.9,98.6,0.6935,51.1,51.1,17.8,19.2,25.5,22.6,36.0,29.8,51.6,54.9,33.6,30.1,69.1,-2.4,,
2020,Missouri,SEC,31,15,103.5,96.4,0.6922,47.0,46.3,20.8,20.8,31.4,27.7,35.7,47.8,48.7,48.2,29.7,28.8,66.5,-4.6,,
