SEASON,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
2024,Denver,Sum,30,17,105.8,115.4,0.2684,51.8,54.7,14.0,14.2,27.3,27.6,35.0,32.0,51.2,54.4,35.1,36.8,70.4,-12.2,,
2024,Presbyterian,BSth,29,14,101.6,110.9,0.2676,51.3,52.6,17.1,17.6,26.3,27.8,37.3,43.1,52.1,52.7,33.1,34.9,67.4,-14.0,,
2024,The Citadel,SC,29,11,100.7,110.0,0.2671,50.6,53.5,18.0,16.1,27.3,26.8,33.7,22.5,51.3,54.1,32.8,35.2,65.3,-15.7,,
2024,Texas Southern,SWAC,31,16,97.7,106.6,0.2669,46.9,48.2,18.3,18.0,30.2,30.8,31.5,40.4,47.1,47.9,31.1,32.4,67.5,-10.6,,
2024,Niagara,MAAC,31,16,101.5,110.8,0.2667,52.0,52.2,17.4,16.5,23.4,26.8,36.0,30.7,51.2,52.1,35.9,35.0,67.2,-12.3,,
2024,SIU Edwardsville,OVC,30,17,99.7,109.8,0.2481,47.2,51.1,15.6,17.4,30.1,28.2,31.9,37.2,46.2,49.2,32.5,36.2,66.8,-12.0,,
2024,DePaul,BE,32,3,100.6,110.9,0.2475,48.1,56.5,19.9,14.5,22.0,32.3,33.5,28.4,47.0,56.1,33.5,38.1,67.7,-14.8,,
2024,FIU,CUSA,32,11,99.9,110.1,0.2454,49.7,55.6,18.9,24.1,27.0,37.3,28.4,35.9,49.9,52.9,32.9,40.3,70.2,-16.3,,
2024,Louisiana Monroe,SB,28,11,99.9,110.2,0.2447,44.8,52.6,18.2,17.2,34.1,29.0,38.4,37.6,45.6,51.7,28.5,35.8,67.0,-13.3,,
2024,Old Dominion,SB,31,7,97.8,107.9,0.2428,47.6,51.3,15.0,18.0,25.2,31.2,27.1,39.7,47.5,50.0,31.8,35.5,69.8,-19.3,,
2024,Valparaiso,MVC,31,7,99.4,109.8,0.2407,46.2,54.5,15.9,17.3,25.7,30.3,23.3,30.7,45.0,55.0,32.1,35.8,67.8,-17.3,,
2024,Sacred Heart,NEC,30,16,101.0,111.6,0.2403,51.5,51.6,17.1,20.1,25.9,32.6,31.7,31.9,50.2,50.6,35.9,35.3,69.2,-12.7,,
2024,Boston University,Pat,32,16,97.7,108.0,0.2401,47.8,50.0,17.7,16.9,26.6,23.0,30.2,36.2,46.8,48.7,32.8,34.6,65.8,-14.1,,
2024,Tennessee St.,OVC,29,18,97.6,107.9,0.2392,48.8,48.8,19.7,18.6,28.4,32.0,38.1,44.3,49.8,48.6,31.3,32.7,68.3,-11.4,,
2024,South Carolina St.,MEAC,30,14,98.1,108.5,0.2383,45.7,52.2,21.3,21.8,37.7,31.0,36.5,49.2,44.5,53.3,32.3,33.6,68.8,-12.9,,
2024,American,Pat,31,16,102.0,112.8,0.2382,52.5,53.4,17.3,17.0,27.9,25.6,28.4,29.8,52.8,51.9,34.7,36.9,62.9,-12.4,,
2024,Jacksonville,ASun,30,16,98.4,109.2,0.2333,48.7,52.3,19.2,17.4,34.6,30.7,36.3,40.4,47.7,51.5,33.8,35.7,65.7,-11.9,,
2024,Alcorn St.,SWAC,31,14,105.0,116.5,0.2333,48.9,55.0,17.0,17.2,33.4,30.6,37.4,36.6,48.0,54.0,34.2,37.5,66.6,-11.4,,
2024,Delaware St.,MEAC,31,15,94.6,105.0,0.2313,46.0,50.9,21.0,21.8,33.6,31.4,39.8,36.2,45.8,49.0,31.2,35.8,68.7,-14.0,,
2024,Bellarmine,ASun,28,8,99.9,111.1,0.2275,49.0,53.9,14.5,14.6,21.8,29.4,21.4,31.9,48.3,55.1,33.6,35.0,65.0,-17.4,,
2024,Campbell,CAA,29,14,100.4,111.8,0.2251,52.0,52.2,18.1,16.4,23.8,31.2,33.7,23.6,52.0,52.9,34.6,34.1,66.3,-13.7,,
2024,Northern Illinois,MAC,29,11,101.1,112.6,0.2249,49.8,52.9,18.1,14.3,28.0,31.2,36.2,34.7,50.2,51.8,32.7,36.7,68.2,-14.1,,
2024,Chicago St.,ind,27,12,96.6,107.7,0.2234,45.7,53.0,20.5,21.5,32.2,35.7,38.9,36.4,46.1,55.3,29.9,32.5,65.2,-12.4,,
2024,Southeastern Louisiana,Slnd,29,15,97.9,109.4,0.2188,48.4,51.3,20.9,17.3,30.7,30.3,35.0,30.2,46.6,52.2,34.1,33.4,64.7,-11.7,,
2024,Le Moyne,NEC,29,15,98.6,110.4,0.2143,50.1,50.6,16.6,17.8,23.1,29.9,25.3,27.8,49.2,51.0,34.1,33.4,67.4,-13.7,,
2024,Sacramento St.,BSky,32,10,97.6,109.5,0.2101,48.7,54.1,22.8,15.6,34.1,25.8,32.9,32.7,48.7,55.1,32.4,35.0,63.9,-18.9,,
2024,Jackson St.,SWAC,32,15,99.5,111.7,0.2095,47.0,52.6,19.0,19.0,34.9,32.0,34.7,34.5,46.2,52.4,32.5,35.2,68.7,-11.6,,
2024,Elon,CAA,30,13,101.1,113.6,0.2068,50.6,53.2,17.8,15.7,28.7,32.8,32.8,29.1,48.8,54.5,35.2,34.2,67.6,-14.0,,
2024,Idaho,BSky,30,11,98.4,110.6,0.2066,50.2,53.5,17.5,16.6,22.7,28.6,26.7,37.2,50.2,53.4,33.5,35.8,64.8,-16.6,,
2024,William & Mary,CAA,31,10,99.5,112.2,0.2018,48.3,52.2,16.3,14.4,27.4,29.1,31.9,34.9,48.6,52.5,32.1,34.5,65.8,-18.6,,
2024,Bethune Cookman,SWAC,31,17,96.6,109.0,0.1999,47.1,49.9,19.9,21.9,29.4,32.9,39.0,48.7,46.9,49.0,31.8,34.3,69.4,-12.4,,
